"State","zhvi_pre_avg","zhvi_post_avg","zhvi_pre_change","zhvi_post_change","gdp_pre","gdp_post","income_pre","income_post","pce_pre","pce_post","population_pre","population_post","creditcard_pre","creditcard_post","auto_pre","auto_post","mortgage_pre","mortgage_post","studentloan_pre","studentloan_post","total_pre","total_post","creditcard_delinq_pre","creditcard_delinq_post","auto_delinq_pre","auto_delinq_post","mortgage_delinq_pre","mortgage_delinq_post","studentloan_delinq_pre","studentloan_delinq_post","unemp_pre","unemp_17","unemp_19","unemp_post","unemp_20","unemp_22"
"AL",148993.081950132,192427.054881567,9.76454600498572,27.9529387731433,3.99662074043639,7.31827244557531,7.5810648518815,12.6889601465873,170014.4,196804.066666667,1.57818947000955,1.2242444892435,7.59493670886076,15.450643776824,7.74058577405858,10.6941838649156,4.19047619047619,16.3920208152645,11.0629067245119,3.78787878787879,5.37992235163616,13.5411343893715,8.37,8.17,6.59,5.58,0.88,0.55,13.95,1.02,-0.9,4,3.1,-2.2,4.5,2.3
"AK",292350.696267725,335028.274781675,7.65602580037523,12.3438479578244,-2.19118632926804,0.862856824972971,7.08672566371681,11.4012254862335,35958.9666666667,39427.2333333333,-0.444023875382152,-1.14904793171372,3.98126463700234,13.5897435897436,-0.998003992015968,12.0792079207921,3.07840307840308,13.3363370128407,6.14973262032086,-2.97766749379653,3.07692307692308,12.0364238410596,6.58,6.46,2.53,2.05,0.6,0.25,10.85,2.12,-1.4,6.6,5.2,-3.1,7.1,4
"AZ",252522.357580118,368418.482240068,14.9725802282429,49.3575385599312,7.94889807534697,12.3828136878379,10.3178823257427,13.1346323840271,273181.1,333781.166666667,4.47358243588981,4.47911283677146,10.1910828025478,16.5016501650165,9.40695296523517,10.2189781021898,5.4372197309417,19.55,7.56646216768916,0.184842883548983,5.82846003898636,16.6222222222222,10.39,8.01,5.22,3.73,0.59,0.26,13.03,0.98,-0.2,4.9,4.7,-2.8,6.5,3.7
"AR",140966.090084305,175351.85403676,7.82526138517244,26.0803478051977,2.69400222468692,8.74218585034079,5.63727266140135,17.4076433121019,101608.4,117945.7,1.52778010699492,2.30936854867779,10,16.0869565217391,5.34351145038168,3.81944444444444,4.12087912087912,13.9930034982509,8.87290167865707,5.80645161290323,5.36933581626319,11.2848209209778,9.74,9.49,5.47,4.38,0.96,0.56,12.23,0.68,-0.3,3.8,3.5,-2,5,3
"CA",521016.145243099,663241.35116136,12.6943125826167,31.2887201997403,8.35812792781071,8.54620644551521,10.3153880509843,9.52829515449939,1849793.83333333,2139168.06666667,1.56707107761514,1.8671320282216,11.4035087719298,19.8142414860681,7.53424657534247,11.6772823779193,4.6303074670571,17.0857733379263,7.15935334872979,1.29310344827586,4.70756062767475,15.5146557600545,8.7,7.9,4.89,3.35,0.58,0.24,9.63,0.81,-0.4,4.5,4.1,-4.6,9,4.4
"CO",375678.347305684,486205.454694234,12.6436926316006,32.7712922907543,9.57042521168068,10.1607411896405,13.1091258121677,18.3590790307866,261948.466666667,313687.4,3.31244767331947,3.6085503596968,8.21529745042493,17.6119402985075,4.75161987041037,10.183299389002,9.05697445972495,19.047619047619,6.67808219178082,-0.475435816164818,7.94740686632578,16.8063924548074,6.46,6.03,3.41,2.82,0.41,0.26,10.07,0.64,-0.1,2.9,2.8,-3.4,6.4,3
"CT",251600.271222075,305413.603525929,3.62792178289272,28.0491639763207,0.49303496374809,6.98356222379367,7.27291133382504,10.4169108740671,182523.733333333,203649.066666667,0.522780642029727,2.12196434011057,7.77479892761394,16.0919540229885,4.44444444444444,9.16230366492147,1.31610433117971,9.40409683426443,8.8339222614841,2.23285486443381,1.66496772001359,8.2886805090422,7.06,6.72,3.14,2.37,1.77,0.8,9.48,0.88,-0.6,4.3,3.7,-3.9,7.4,3.5
"DE",262137.423096837,318745.47777223,5.5796510324329,27.9101975639957,7.29229565987497,6.40270981480357,7.56245374722483,15.1233400003604,44168.8666666667,50647.2666666667,4.06748266626618,4.82281599393595,7.97546012269939,15.4340836012862,6.10526315789474,8.10810810810811,2.68729641693811,9.57473898650369,8.58676207513417,0.940438871473354,3.55871886120996,8.96686159844054,8.56,7.67,5.51,4.48,1.73,0.73,11,2.03,-0.6,4.2,3.6,-1.6,5.6,4
"DC",560796.544309981,633071.824760506,8.25277819225385,7.84374609578353,3.4333143706422,5.02307455347544,5.16294443676399,10.4332293171318,47614.6333333333,52676.0333333333,1.2549417866599,-0.066171605029042,12.7551020408163,26.6304347826087,2.6578073089701,14.0243902439024,4.22036082474227,20.1870268665578,8.40064620355412,-6.10294117647059,4.82341787153354,17.2688982487253,6.53,7.94,9.79,10.93,0.75,0.34,7.67,0.86,-0.5,5.9,5.4,-3.1,7.8,4.7
"FL",228291.168954666,308955.85508985,13.2294210786497,45.573396434329,6.90208735746529,15.9030989041642,10.7725968584226,13.4986469516617,925570.133333333,1114739.5,3.82954135066811,4.79663417759941,13.3738601823708,17.9640718562874,8.46774193548387,14.15770609319,10.5088495575221,17.9174484052533,7.0362473347548,3.11284046692607,9.1705069124424,15.2749490835031,10.54,9.37,5.82,4.23,1.47,0.44,12.65,0.79,-1,4,3,-3.3,6.2,2.9
"GA",188339.331845159,261365.050099737,16.6461952022879,42.2949956422254,6.37512246306315,10.075669797844,8.23668480685164,11.1406917994559,398828.966666667,468771.533333333,2.51149090822713,3.681442010274,10.8626198083067,16.7202572347267,7.22433460076046,10.6086956521739,5.66037735849057,14.8762918885061,10.2222222222222,1.05124835742444,6.39845923389685,12.5733281188893,8.33,8.42,6.32,4.96,0.97,0.45,13.45,0.89,-0.9,4.4,3.5,-1.8,5.1,3.3
"HI",593503.445882138,718359.455201395,6.91201606744027,31.95726932018,1.62266516004776,8.82726850292021,6.79919217518711,9.69734187209404,64049.6,71517.2333333333,1.58246777965088,1.33522727272727,11.139896373057,15.7608695652174,7.3972602739726,8.97097625329815,2.70665691294806,11.3407433136506,7.08215297450425,5.67567567567568,4.29956442321203,10.8651911468813,7.17,6.48,4.09,2.88,0.71,0.44,14.29,0.91,0.2,2,2.2,-7,10.2,3.2
"ID",247238.934067571,401877.351553458,24.7228883699189,52.3024430567207,11.2554860417001,12.3145795201493,11.3673325727602,14.8708851573367,59861.3666666667,75122.4333333333,5.45416747100664,4.9492541380015,6.93430656934307,15.9090909090909,6.96629213483146,12.6530612244898,10.1062117798519,24.6564268391269,6.35593220338983,-1.02249488752556,9.07715582450832,20.9504054308882,6.83,5.6,2.88,2.26,0.47,0.23,10.29,0.53,-0.3,3.1,2.8,-1.2,4.2,3
"IL",187282.669422442,220835.046632162,7.2411405409933,20.8663579408521,3.02481860574131,8.18748781937912,8.82463811821472,11.0656137272107,558868.466666667,627578.766666667,0.358141010660632,1.25557856166795,8.94568690095847,17.9054054054054,6.60146699266504,6.99774266365688,3.30469266358229,12.41768579492,6.79785330948122,0,4.02890299978104,10.4389834068473,6.62,6.65,4.51,3.86,1.27,0.62,9.79,0.73,-1.1,4.7,3.6,-3.1,7.6,4.5
"IN",144725.219183378,191702.277905535,14.5517011120379,30.5057400903652,3.62800032891812,10.9769021863751,8.30640818524502,13.7834389979898,251360,291369.5,1.2264247792802,1.81339688802805,8,15.3526970954357,8.51581508515815,11.231101511879,6.61990355107409,14.7356143079316,4.54545454545455,-2.44821092278719,6.34238108035474,12.4846701005641,7.04,6.72,5.2,4.72,1.03,0.56,12.85,1.02,0,3.3,3.3,-1.7,5,3.3
"IA",149105.232264934,180023.326379904,9.34098793342632,20.9503521627068,0.719519038076149,8.18566379109549,6.21592148309706,16.9019973014576,119766.433333333,134375.333333333,0.868100041153222,1.77110774878841,8.16326530612245,16.4556962025316,5.94965675057208,6.11814345991561,4.39381611065907,12.8243700639338,3.49514563106796,-1.51228733459357,4.67625899280576,10.4347826086957,6.98,6.52,2.89,2.57,0.68,0.43,13.05,1.28,-0.2,2.9,2.7,-1.2,4.2,3
"KS",142074.206938121,180837.308504081,10.0398848855612,26.2330910492566,1.97788464314238,5.60126100223259,8.04831057985126,13.0907441016334,111071.866666667,125217.666666667,0.870958571317809,2.03000432999669,5.39568345323741,15.7088122605364,4.75,7.00934579439252,2.70038576939563,12.2743682310469,4.52830188679245,0.178890876565295,3.7513397642015,10.0303951367781,6.42,6.51,3.4,2.9,0.73,0.41,11.33,0.92,-0.4,3.5,3.1,-1.5,4.4,2.9
"KY",132741.853866835,169828.474453775,11.9546960037743,25.3550146552596,4.03759996856026,6.65179646065802,7.58112021384551,11.8230893479555,160233.766666667,183980.233333333,0.921320432307709,1.71220009661317,8.7719298245614,16.1434977578475,8.99470899470899,10.0702576112412,1.49925037481259,12.6954921803128,7.32758620689655,0.386847195357834,3.71360665478313,11.0835401157982,7.82,7.3,5,4.01,1.02,0.52,15.66,0.68,-0.3,4.3,4,-0.6,4.7,4.1
"LA",175241.426959907,198783.22141084,4.75942558730543,10.8776411424027,2.85355461164896,3.45173842646887,8.11525548452376,11.0266690602996,171785.466666667,193674.733333333,-0.232091331075147,0.133954968107206,10.2459016393443,18.5185185185185,7.20720720720721,9.10569105691057,8.30931796349664,14.6796775562155,11.1553784860558,2.7681660899654,8.2244008714597,12.2733953944145,8.62,8.23,6.94,5.44,1.5,0.95,14.72,1.36,0.0999999999999996,4.7,4.8,-3.8,7.4,3.6
"ME",219927.779197854,302859.037455082,11.8566945521953,38.938833202059,5.96470509804668,8.34479290441161,8.88356388193007,13.491113362188,60739.4666666667,70963.5333333333,1.3452688008901,2.84419337887546,7.63636363636364,13.0268199233716,7.85219399538106,10.6339468302658,3.69805566145635,12.7748691099476,3.2258064516129,-0.180505415162455,3.94486692015209,10.9277430865299,6.22,5.85,3.14,2.39,1.54,0.59,8.5,0.38,0,3.1,3.1,-1.6,4.2,2.6
"MD",303319.379097117,363543.254241158,7.10499349841115,20.1526278364153,0.698423499772966,7.10509827080828,5.97132801098807,9.5203578038248,272378.8,299305.4,1.32228727649118,1.74656232792251,8.99470899470899,16.3888888888889,6.26223091976517,6.71506352087114,2.29862475442043,11.864406779661,10.3833865814696,2.0260492040521,3.285244965005,10.2655841475162,7.43,6.94,5.11,4.25,1.33,0.61,10.01,0.65,-0.9,4.1,3.2,-4.2,6.6,2.4
"MA",405311.242596694,500873.043630656,9.24913417317159,25.6150421068455,6.82803104298687,8.62645931774942,9.55364845842982,10.638957015619,368982.633333333,413192.9,2.27707595538876,1.86422491369647,7.73638968481375,18.1818181818182,4.7244094488189,5.86734693877551,4.39248251748252,12.2237706549871,3.34448160535117,2.74636510500808,3.85286189947677,10.8192807043725,7.22,6.59,2.79,1.86,0.9,0.37,7.14,0.72,-0.7,3.7,3,-3.9,7.4,3.5
