"State","gdp_pre","gdp_post"
"AL",3.99662074043639,7.31827244557531
"AK",-2.19118632926804,0.862856824972971
"AZ",7.94889807534697,12.3828136878379
"AR",2.69400222468692,8.74218585034079
"CA",8.35812792781071,8.54620644551521
"CO",9.57042521168068,10.1607411896405
"CT",0.49303496374809,6.98356222379367
"DE",7.29229565987497,6.40270981480357
"DC",3.4333143706422,5.02307455347544
"FL",6.90208735746529,15.9030989041642
"GA",6.37512246306315,10.075669797844
"HI",1.62266516004776,8.82726850292021
"ID",11.2554860417001,12.3145795201493
"IL",3.02481860574131,8.18748781937912
"IN",3.62800032891812,10.9769021863751
"IA",0.719519038076149,8.18566379109549
"KS",1.97788464314238,5.60126100223259
"KY",4.03759996856026,6.65179646065802
"LA",2.85355461164896,3.45173842646887
"ME",5.96470509804668,8.34479290441161
"MD",0.698423499772966,7.10509827080828
"MA",6.82803104298687,8.62645931774942
"MI",3.16443328717099,8.33385469196871
"MN",4.19920506740633,7.62348535116803
"MS",0.840032861389145,5.65096244837876
"MO",3.23037146075256,7.71242808387082
"MT",3.6991572193396,10.4288795431901
"NE",3.52946236768574,10.0256519711618
"NV",7.86193061113695,14.683731040421
"NH",4.01406264628058,9.93775299870359
"NJ",4.84747410846576,8.87684198858246
"NM",7.65163860997895,5.81751729111353
"NY",4.89682211486,6.53780140909067
"NC",3.87061248502908,9.74886998223573
"ND",5.09161474751549,0.246013471654739
"OH",3.35431145184476,6.10683085199039
"OK",3.91277385417781,1.24221592193397
"OR",6.32289073290339,7.85029495729584
"PA",2.32455012342275,5.83655505646327
"RI",2.3582818912536,6.95102495719686
"SC",6.26115865022121,8.92548301926684
"SD",1.73418243885994,4.71682202434307
"TN",4.15846152764004,12.6696960503839
"TX",8.36214316088222,10.0950459928247
"UT",12.0212697951475,11.6520034382506
"VT",2.30198961619187,7.75097898780566
"VA",5.01988480633084,8.59497171639579
"WA",11.6897907958998,9.32150829796073
"WV",2.64698213706095,3.53328737099919
"WI",3.53229768974683,5.35779075673877
"WY",2.54330773545133,4.50022376803267
NA,4.49026083901674,8.18726297224444
NA,3.87065581302867,6.78394294187619
NA,3.27416917000218,7.72876318434508
NA,3.01549626694759,7.24385625904487
NA,5.0595935117004,10.5181920858088
NA,7.89787874491936,9.56327508250601
NA,9.55786506027139,10.5320050917451
NA,8.37053273119092,8.77974211776168
