"State","income_pre","income_post"
"AL",7.5810648518815,12.6889601465873
"AK",7.08672566371681,11.4012254862335
"AZ",10.3178823257427,13.1346323840271
"AR",5.63727266140135,17.4076433121019
"CA",10.3153880509843,9.52829515449939
"CO",13.1091258121677,18.3590790307866
"CT",7.27291133382504,10.4169108740671
"DE",7.56245374722483,15.1233400003604
"DC",5.16294443676399,10.4332293171318
"FL",10.7725968584226,13.4986469516617
"GA",8.23668480685164,11.1406917994559
"HI",6.79919217518711,9.69734187209404
"ID",11.3673325727602,14.8708851573367
"IL",8.82463811821472,11.0656137272107
"IN",8.30640818524502,13.7834389979898
"IA",6.21592148309706,16.9019973014576
"KS",8.04831057985126,13.0907441016334
"KY",7.58112021384551,11.8230893479555
"LA",8.11525548452376,11.0266690602996
"ME",8.88356388193007,13.491113362188
"MD",5.97132801098807,9.5203578038248
"MA",9.55364845842982,10.638957015619
"MI",7.31928243195475,9.69935779642715
"MN",7.57440642068889,13.8372984166843
"MS",7.00675250826977,10.9315365405456
"MO",8.13737969228021,13.1235256889707
"MT",9.44477506667548,15.1868678370445
"NE",8.03504734217592,17.9363820600934
"NV",10.5360600966142,14.3387734192037
"NH",10.4841217733854,10.9824535426075
"NJ",9.42240373395566,9.97586255856879
"NM",10.274007551791,14.1686207860938
"NY",6.83856862682056,9.92542083954826
"NC",9.39641330649721,13.6966723961452
"ND",9.31313910862435,17.6815531407368
"OH",7.11497592921889,10.3370616400765
"OK",9.81013379527272,15.8396641343463
"OR",9.72122944960686,13.0614552779447
"PA",8.19681609682766,8.45049381691427
"RI",9.34065934065934,8.14345991561181
"SC",8.88285950218238,11.5011585228321
"SD",10.1198186528497,17.3572077681667
"TN",10.1245299164546,13.7722591202233
"TX",9.78278789877174,14.6308969796514
"UT",11.9288868231466,17.1353472101428
"VT",8.53646343658142,9.27560165832344
"VA",7.32846607940857,13.4739413680782
"WA",11.6742957746479,11.773318150224
"WV",9.71653664941685,11.7324536964807
"WI",8.40181325164041,11.5880060619182
"WY",9.71123487885345,17.3595108612161
NA,8.91401482999952,10.5789889524971
NA,7.51997015077252,9.59175761913282
NA,7.95238592461105,10.9984822202949
NA,7.83891792191823,14.6575562414144
NA,9.01264816899543,12.9804482594182
NA,9.91203099248732,14.5056013764985
NA,12.0529855643045,17.1285068028966
NA,10.3035780743261,10.2580071174377
