"State","pce_pre","pce_post"
"AL",8.27783668881641,22.6626378644846
"AK",5.57222533985363,23.8843258042437
"AZ",10.6818114258205,27.9804397695
"AR",6.48672904821396,22.0985032199662
"CA",10.7879286114127,25.6598313073477
"CO",11.3197587578513,27.960541067325
"CT",5.44827901676172,19.8058918823966
"DE",8.69807394204286,25.4379139331983
"DC",9.6532275695455,23.1194353893819
"FL",10.1563925151816,30.3910615103715
"GA",9.44890605756884,26.2020141990563
"HI",9.02748559183553,22.6488153323705
"ID",10.5901758949389,32.6840409846658
"IL",6.51614306926253,22.8783075446195
"IN",7.25441218487864,24.1612975493113
"IA",5.7238993575557,20.9972977258612
"KS",6.50092542016122,20.8282310541243
"KY",7.13325085076361,22.3236139710167
"LA",6.19084638112322,20.8519112024694
"ME",8.23261580151898,24.1868429814964
"MD",5.98064763430012,20.9980918298992
"MA",7.78029714788202,22.8944766512134
"MI",6.9936269778073,20.5048997489385
"MN",7.06373689073101,22.6198274154896
"MS",4.19062656348479,21.6069484092358
"MO",6.49270155066277,22.1263624250016
"MT",9.1601089876722,28.6792452830189
"NE",6.43627038932574,23.6564479657971
"NV",11.2512641528745,28.3557731538148
"NH",6.72101606795374,22.929096603813
"NJ",8.22253052280737,23.1315331327073
"NM",6.09382491096797,24.4834956706317
"NY",8.78091346349285,20.9612407190818
"NC",9.57853836738333,26.8000310499005
"ND",7.76138200798059,17.8700792782941
"OH",6.35250993134285,20.6090257408463
"OK",6.45163023909457,23.308684616187
"OR",9.71121434069043,24.2063350375242
"PA",7.90621093893208,22.3159343681549
"RI",7.48210712593394,21.46845932655
"SC",9.03720081412796,26.1559595695881
"SD",8.21164692318865,23.1673535203863
"TN",8.79037268310081,25.8716154129943
"TX",9.04551757040837,26.7030925470508
"UT",13.4201773372279,30.9502389474826
"VT",7.90298348781192,18.5020838198869
"VA",7.55617682473255,22.6534633728471
"WA",10.9054622493782,24.498235144363
"WV",5.98513011152417,18.9135981305626
"WI",7.07112407173345,23.1682583687374
"WY",5.72609801821104,22.1357262864917
NA,7.14044703465786,21.9971503398245
NA,8.15000113171223,21.8431202308304
NA,6.74327649649095,22.0315591803147
NA,6.66595816720973,21.9557353076374
NA,8.71165270114778,26.0001938589302
NA,8.96470147896063,26.5480563383498
NA,11.2366824817587,29.0098347698157
NA,10.6348408613973,25.4379619886724
